jurisdiction,permit_number,application_date,issue_date,expiration_date,status,address,city,state,zip_code,parcel_number,permit_type,permit_subtype,work_description,project_value,square_footage,contractor_name,contractor_company,applicant_name,owner_name,business_name,architect,engineer,source_record_url,source_dataset_url,date_collected
City of Tampa,BLD-25-0519025,2025-09-30,2026-07-10,,Revision,1701 N  Florida Ave,Tampa,FL,33602,,Commercial Building Alterations (Renovations),Business,"Interior Build-Out, interior renovation for the ground floor unit B in the retail space. This will include HVAC, Plumbing, Electrical, Concrete, non structural framing and sheetrock, some changes to fire suppression to accommodate a drop ceiling.",,0.0,,,,,Buildout- Iron Tribe Crossfit,,,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=02JMS&agencyCode=TAMPA,https://arcgis.tampagov.net/arcgis/rest/services/Planning/ConstructionInspections/MapServer/0,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04022,2026-07-08,,,,1530 HUNTINGTON ST,LAKELAND,FL,33801,31718,Permit,Building Residential,replacing windows,2000.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04033,2026-07-08,,,,1725 MARTIN L KING JR AVE,LAKELAND,FL,33805,125222,Permit,Tent,Tent for Guest,,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04035,2026-07-08,,,,2829 KATHRYN AVE,LAKELAND,FL,33805,34803,Permit,Roof,RE-ROOF 22 SQ SHINGLES W/PEEL AND STICK UNDERLAYMENT,8000.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04039,2026-07-08,,,,902 KENSINGTON ST,LAKELAND,FL,33803,35006,Permit,Building Residential,Pool Enclosure,13500.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04042,2026-07-09,,,,1215 MEMORIAL BLVD E,LAKELAND,FL,33801,118217,Permit,Electrical,Replace light switches and lights as needed for damaged canopy.,500.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04050,2026-07-09,,,,4080 DOVER TERRACE DR,LAKELAND,FL,33810,164120,Permit,Mechanical,ECO HVAC,14806.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04051,2026-07-09,,,,1109 HALLAM DR,LAKELAND,FL,33813,89297,Permit,Building Residential,1109 HALLAM DR Pre Manufactured Shed 10x14 in backyard,4000.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04056,2026-07-09,,,,1622 LAGOON RD,LAKELAND,FL,33803,35916,Permit,Mechanical,Replace 4 ton system,14382.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04057,2026-07-09,,,,1739 WEBSTER AVE N,LAKELAND,FL,33805,125460,Permit,Building Residential,Remove and Replace Existing Deck,15104.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04060,2026-07-09,,,,1880 CRYSTAL LAKE DR N # 4,LAKELAND,FL,33801,13801,Permit,Roof,reroof,20000.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04063,2026-07-09,,,,921 GOLDEN RULE CT N,LAKELAND,FL,33803,25883,Permit,Building Residential,BLD26-01868,1700.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04064,2026-07-09,,,,1414 WEBSTER AVE N,LAKELAND,FL,33805,73453,Permit,Solar,Residential Roof Mounted Solar Panel Install - 5.72kW DC,13442.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04072,2026-07-10,,,,1209 ALLIUM DR,LAKELAND,FL,33803,230346,Permit,Mechanical,ECO HVAC,13649.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04077,2026-07-10,,,,1815 LOWRY AVE,LAKELAND,FL,33801,40481,Permit,Electrical,Indoor Panel Change,1500.0,,,,QUALITY ELECTRIC AND CONSTRUCTION (EC13013983),,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04078,2026-07-10,,,,1000 LONGFELLOW BLVD,LAKELAND,FL,33801,117374,Permit,Plumbing,Water heater install,1848.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04080,2026-07-10,,,,1111 FOREST PARK ST,LAKELAND,FL,33803,85106,Permit,Electrical,HVAC Renovation,129369.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04085,2026-07-10,,,,727 MARTINIQUE CIR,LAKELAND,FL,33803,86458,Permit,Mechanical,Mechanical - HVAC Change Out 4 ton,14500.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04088,2026-07-10,,,,4942 RIVER BIRCH BND,Lakeland,FL,33811,278519,Permit,Building Residential,PP INSP- LOT 246 / SFR / LAKESIDE PRESERVE PH 2,122940.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04025,2026-07-08,,,,476 CARIBBEAN DR,LAKELAND,FL,33803,6830,Permit,Waterfront,476 CARIBBEAN DR Re-build existing dock,3050.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04028,2026-07-08,,,,4310 FLORIDA AVE S,LAKELAND,FL,33813,88094,Permit,Roof,Repair shingle roof,3800.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04030,2026-07-08,,,,534 PRADO PL,LAKELAND,FL,33803,54300,Permit,Building Residential,PP INSP- REPLACE 15 WINDOWS - SIZE FOR SIZE,11543.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04031,2026-07-08,,,,2121 NEW TAMPA HWY # I-10,LAKELAND,FL,33815,82179,Permit,Roof,TPO Roofover,3300.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04040,2026-07-09,,,,1328 ALAMEDA DR S,LAKELAND,FL,33805,244,Permit,Mechanical,PP INSP- HVAC,14178.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04043,2026-07-09,,,,1808 BALTUSROL CT,LAKELAND,FL,33803,103606,Permit,Building Residential,PP REV & INSP- Replace 1 Door size for size,10700.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04053,2026-07-09,,,,1104 HICKORY BRANCH DR,Lakeland,FL,33811,278453,Permit,Building Residential,PP REVS & INSP - NVR Inc. DBA Ryan Homes,229200.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04055,2026-07-09,,,,5110 SPANISH OAKS DR,LAKELAND,FL,33805,159325,Permit,Roof,Roof,14725.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04058,2026-07-09,,,,3384 HWY 98  N,Lakeland,FL,33805,267262,Permit,Building Commercial,posh salon suites dumpster enclosure,7500.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04061,2026-07-09,,,,1880 CRYSTAL LAKE DR N # 31,LAKELAND,FL,33801,13822,Permit,Roof,REROOF,11000.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04067,2026-07-09,,,,1776 HARDEN BLVD # 56,LAKELAND,FL,33803,28184,Permit,Mechanical,2 Ton equal Change out. Air handler and condenser.,1850.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04068,2026-07-10,,,,4316 HWY 98  N # 100,LAKELAND,FL,33809,217343,Permit,Mechanical,HVAC Changeout,6100.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04070,2026-07-10,,,,637 CAREY PL,LAKELAND,FL,33803,6823,Permit,Electrical,Install 50a inlet for portable generator,1615.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04073,2026-07-10,,,,5218 CORNELL ST,LAKELAND,FL,33810,11503,Permit,Building Residential,Truss replacement,14711.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04074,2026-07-10,,,,1452 SHOREWOOD DR,LAKELAND,FL,33803,64540,Permit,Mechanical,CHANGE OUT HVAC SYSTEM,10180.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04075,2026-07-10,,,,3216 CLEVELAND HEIGHTS BLVD,LAKELAND,FL,33803,86726,Permit,Roof,Reroof,5000.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04081,2026-07-10,,,,1600 LAKELAND HILLS BLVD,LAKELAND,FL,33805,37485,Permit,Building Commercial,Interior Renovation,816383.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04015,2026-07-08,,,,540 PRADO PL,LAKELAND,FL,33803,86174,Permit,Mechanical,REPLACE 4 TON HEAT PUMP SPLIT SYSTEM,8000.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04016,2026-07-08,,,,912 GOLDEN RULE CT N,LAKELAND,FL,33803,85333,Permit,Mechanical,PP INSP- HVAC,12559.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04019,2026-07-08,,,,606 RANGPUR ST,LAKELAND,FL,33803,197252,Permit,Mechanical,Replace 2.5 ton system,14665.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04023,2026-07-08,,,,2425 HARDEN BLVD # 5,LAKELAND,FL,33803,28453,Permit,Building Residential,2425 HARDEN BLVD # 5 NEW SIDING,8000.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04024,2026-07-08,,,,468 CARIBBEAN DR,LAKELAND,FL,33803,86473,Permit,Waterfront,468 CARIBBEAN DR Re-build existing dock,4950.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04026,2026-07-08,,,,810 ELIZABETH LN,LAKELAND,FL,33809,18788,Permit,Mechanical,CHANGE OUT EXISTING,6695.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04027,2026-07-08,,,,222 ORANGEVIEW LN,LAKELAND,FL,33803,50642,Permit,Building Residential,Window and door replacement,4360.0,,,,CASTELLON CONSTRUCTION PROS (CGC1538687),,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04029,2026-07-08,,,,1415 WINSTON PARK BLVD,LAKELAND,FL,33811,247232,Permit,Building Commercial,Installation of New Prefab Guard House,250000.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04038,2026-07-08,,,,320 CRESAP ST,LAKELAND,FL,33815,12622,Permit,Building Commercial,New screen room (aluminum roof) 46' x 18' with new Concrete slab,10000.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
City of Lakeland,BLD26-04046,2026-07-09,,,,403 EASTON DR,LAKELAND,FL,33803,17227,Permit,Building Residential,CHANGE OUT GARAGE DOOR SIZE FOR SIZE,3200.0,,,,,,,,,https://ims.lakelandgov.net/ims/Account/Anonymous?returnUrl=%2Fims%2FFind3%3Fcat%3DPermits,https://services1.arcgis.com/mcbQY5xNGGGM1vBX/arcgis/rest/services/IMS_Projects_Permits/FeatureServer/6,2026-07-13T20:42:55Z
